category_name,name,description,price,price_note,needs_verification,is_available,sort_order,source_page,source_section
"Hand Rolled Bagels","Hand Rolled Bagel","Old fashioned, kettle boiled. Choose your flavor.",1.50,,false,true,0,"printed menu (client-supplied photos)","Hand Rolled Bagels"
"Hand Rolled Bagels","Half Dozen Bagels","Six hand rolled bagels, any flavors.",8.50,,false,true,0,"printed menu (client-supplied photos)","Hand Rolled Bagels"
"Hand Rolled Bagels","Baker's Dozen Bagels","Thirteen hand rolled bagels, any flavors.",16.00,,false,true,0,"printed menu (client-supplied photos)","Hand Rolled Bagels"
"Breakfast Sandwiches","Egg Sandwich","Two eggs on a bagel or roll.",4.40,,false,true,0,"printed menu (client-supplied photos)","Breakfast Sandwiches"
"Breakfast Sandwiches","Meat & Egg","Two eggs with your choice of meat.",6.40,,false,true,0,"printed menu (client-supplied photos)","Breakfast Sandwiches"
"Breakfast Sandwiches","Egg & Cheese","Two eggs with your choice of cheese.",6.40,,false,true,0,"printed menu (client-supplied photos)","Breakfast Sandwiches"
"Breakfast Sandwiches","Meat, Egg & Cheese","Two eggs, your choice of meat and cheese.",7.45,,false,true,0,"printed menu (client-supplied photos)","Breakfast Sandwiches"
"Breakfast Sandwiches","Potatoes & Egg","Two eggs with home fries.",5.40,,false,true,0,"printed menu (client-supplied photos)","Breakfast Sandwiches"
"Egg Omelettes","Cheese Omelette","Your choice of cheese: Swiss, White American, Cheddar or Provolone.",10.35,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Vegetable Omelette","With spinach, bell peppers, mushrooms and onions.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Ham and Cheese Omelette","Classic ham and cheese.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Western Omelette","With ham, peppers and onions.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Greek Omelette","With spinach, feta cheese, onions and tomatoes.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Lorraine Omelette","With bacon, onions and Swiss cheese.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Belly Buster Omelette","With bacon, sausage, ham and cheese.",14.05,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Chorizo Omelette","Chorizo, jalapeño, onions and pepper jack cheese.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Your Way Egg Platter","Build your own — egg whites available for +$1.00.",11.40,,true,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"French Toast","French Toast","Griddled fresh.",6.50,,false,true,0,"printed menu (client-supplied photos)","French Toast"
"French Toast","French Toast With Meat","Served with 3 slices of your choice of meat.",8.50,,false,true,0,"printed menu (client-supplied photos)","French Toast"
"French Toast","French Toast Platter","2 bacon, 2 pork roll, 2 sausage.",8.50,,false,true,0,"printed menu (client-supplied photos)","French Toast"
"French Toast","Sweet & Salty","French toast with 1 bacon or pork roll and 1 egg.",8.50,,true,true,0,"printed menu (client-supplied photos)","French Toast"
"Sides & More","Hash Browns",,3.50,,false,true,0,"printed menu (client-supplied photos)","Sides & More"
"Sides & More","Home Fries",,3.50,,false,true,0,"printed menu (client-supplied photos)","Sides & More"
"Sides & More","Two Eggs",,3.50,,false,true,0,"printed menu (client-supplied photos)","Sides & More"
"Sides & More","Bacon, Pork Roll or Sausage",,3.50,,false,true,0,"printed menu (client-supplied photos)","Sides & More"
